mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_jobs,param_model__n_estimators,param_model__criterion,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
1.0263503789901733,0.048136353492736816,0.4612419605255127,0.010384798049926758,-1,10,gini,"{'model__n_jobs': -1, 'model__n_estimators': 10, 'model__criterion': 'gini'}",0.6261918556768916,0.6320781815248787,0.6291350186008852,0.0029431629239935475,7
1.6129823923110962,0.0016814470291137695,0.6467540264129639,0.017961502075195312,-1,20,gini,"{'model__n_jobs': -1, 'model__n_estimators': 20, 'model__criterion': 'gini'}",0.643500509314892,0.6398402481738075,0.6416703787443497,0.0018301305705422655,6
3.469765543937683,0.17607581615447998,1.3387240171432495,0.1443554162979126,-1,50,gini,"{'model__n_jobs': -1, 'model__n_estimators': 50, 'model__criterion': 'gini'}",0.6586914355939869,0.6514154112115994,0.6550534234027932,0.0036380121911937513,4
6.069013833999634,0.34592223167419434,2.390810489654541,0.035222530364990234,-1,100,gini,"{'model__n_jobs': -1, 'model__n_estimators': 100, 'model__criterion': 'gini'}",0.6650898708147414,0.6658761139325343,0.6654829923736378,0.0003931215588964809,2
1.0976930856704712,0.0152665376663208,0.3976454734802246,0.010965108871459961,-1,10,entropy,"{'model__n_jobs': -1, 'model__n_estimators': 10, 'model__criterion': 'entropy'}",0.625376722326295,0.6313969537908704,0.6283868380585826,0.003010115732287655,8
1.8011399507522583,0.055580735206604004,0.6264523267745972,0.0019074678421020508,-1,20,entropy,"{'model__n_jobs': -1, 'model__n_estimators': 20, 'model__criterion': 'entropy'}",0.6419899105723683,0.6500068843110876,0.6459983974417279,0.004008486869359618,5
3.596686601638794,0.18860459327697754,1.1250813007354736,0.007559061050415039,-1,50,entropy,"{'model__n_jobs': -1, 'model__n_estimators': 50, 'model__criterion': 'entropy'}",0.664084507683277,0.6521178725566131,0.6581011901199451,0.005983317563331925,3
6.628917574882507,0.054730772972106934,2.005442261695862,0.025786280632019043,-1,100,entropy,"{'model__n_jobs': -1, 'model__n_estimators': 100, 'model__criterion': 'entropy'}",0.6614409032952104,0.669721994222945,0.6655814487590777,0.004140545463867273,1
